Område- och stationsnummer;Stationens namn;Datum för mätning;Grundvattennivå (cm u. röröverkant);Grundvattennivå (m ö.h.);Grundvattennivå (m under markyta);Startdatum för mätning;Slutdatum för mätning;Jordart;Akvifertyp;Topografiskt läge;Referensnivå för röröverkant (m ö.h.);Rörhöjd ovan mark (m);Total rörlängd (m);Metod för mätning;Kommunkod;EUCD för grundvattenförekomst;N;E;Nivåmätningskvalitet
52_2;Kungsbacka_2;1972-03-03 00:00:00;175.00;52.38;0.60;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;klucklod;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;1972-03-28 00:00:00;159.00;52.54;0.44;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;klucklod;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;1972-04-27 00:00:00;180.00;52.33;0.65;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;klucklod;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;1972-05-26 00:00:00;167.00;52.46;0.52;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;klucklod;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;1972-06-26 00:00:00;171.00;52.42;0.56;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;klucklod;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;1972-07-24 00:00:00;228.00;51.85;1.13;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;klucklod;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;1972-09-01 00:00:00;244.00;51.69;1.29;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;klucklod;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;1972-10-19 00:00:00;258.00;51.55;1.43;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;klucklod;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;1972-11-16 00:00:00;202.00;52.11;0.87;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;klucklod;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;1972-12-14 00:00:00;158.00;52.55;0.43;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;klucklod;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;1973-01-17 00:00:00;169.00;52.44;0.54;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;klucklod;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;1973-02-17 00:00:00;149.00;52.64;0.34;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;klucklod;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;1973-03-16 00:00:00;163.00;52.50;0.48;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;klucklod;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;1973-04-19 00:00:00;169.00;52.44;0.54;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;klucklod;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;1973-05-15 00:00:00;162.00;52.51;0.47;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;klucklod;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;1973-06-19 00:00:00;179.00;52.34;0.64;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;klucklod;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;1973-07-16 00:00:00;201.00;52.12;0.86;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;klucklod;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;1973-08-17 00:00:00;223.00;51.90;1.08;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;klucklod;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;1973-09-14 00:00:00;243.00;51.70;1.28;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;klucklod;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
