Timestamp;Date;Time;Date_time;ms;LEVEL;TEMPERATURE;CONDUCTIVITY;relative level
43362,67;2018-09-19;16:00:00;2018-09-19 16:00;0;4,413;6,6;110;0,044
43362,71;2018-09-19;17:00:00;2018-09-19 17:00;0;4,405;6,6;110;0,036
43362,75;2018-09-19;18:00:00;2018-09-19 18:00;0;4,402;6,6;110;0,033
43362,79;2018-09-19;19:00:00;2018-09-19 19:00;0;4,394;6,6;110;0,025
43362,83;2018-09-19;20:00:00;2018-09-19 20:00;0;4,39;6,6;110;0,021
43362,88;2018-09-19;21:00:00;2018-09-19 21:00;0;4,428;6,6;110;0,059
43362,92;2018-09-19;22:00:00;2018-09-19 22:00;0;4,399;6,6;110;0,03
43362,96;2018-09-19;23:00:00;2018-09-19 23:00;0;4,414;6,6;110;0,045
43363,00;2018-09-20;00:00:00;2018-09-20 00:00;0;4,408;6,6;110;0,039
43363,04;2018-09-20;01:00:00;2018-09-20 01:00;0;4,427;6,5;110;0,058
43363,08;2018-09-20;02:00:00;2018-09-20 02:00;0;4,396;6,6;110;0,027
43363,13;2018-09-20;03:00:00;2018-09-20 03:00;0;4,417;6,6;110;0,048
43363,17;2018-09-20;04:00:00;2018-09-20 04:00;0;4,392;6,6;110;0,023
43363,21;2018-09-20;05:00:00;2018-09-20 05:00;0;4,408;6,6;110;0,039
43363,25;2018-09-20;06:00:00;2018-09-20 06:00;0;4,389;6,6;110;0,02
43363,29;2018-09-20;07:00:00;2018-09-20 07:00;0;4,414;6,6;110;0,045
43363,33;2018-09-20;08:00:00;2018-09-20 08:00;0;4,416;6,6;110;0,047
43363,38;2018-09-20;09:00:00;2018-09-20 09:00;0;4,414;6,6;110;0,045
43363,42;2018-09-20;10:00:00;2018-09-20 10:00;0;4,399;6,6;110;0,03
43363,46;2018-09-20;11:00:00;2018-09-20 11:00;0;4,404;6,6;110;0,035
43363,50;2018-09-20;12:00:00;2018-09-20 12:00;0;4,4;6,6;110;0,031
43363,54;2018-09-20;13:00:00;2018-09-20 13:00;0;4,398;6,6;110;0,029
43363,58;2018-09-20;14:00:00;2018-09-20 14:00;0;4,423;6,6;110;0,054
43363,63;2018-09-20;15:00:00;2018-09-20 15:00;0;4,41;6,6;110;0,041
43363,67;2018-09-20;16:00:00;2018-09-20 16:00;0;4,419;6,6;110;0,05
43363,71;2018-09-20;17:00:00;2018-09-20 17:00;0;4,404;6,6;110;0,035
43363,75;2018-09-20;18:00:00;2018-09-20 18:00;0;4,399;6,6;110;0,03
43363,79;2018-09-20;19:00:00;2018-09-20 19:00;0;4,431;6,6;110;0,062
43363,83;2018-09-20;20:00:00;2018-09-20 20:00;0;4,402;6,6;110;0,033
43363,88;2018-09-20;21:00:00;2018-09-20 21:00;0;4,411;6,6;110;0,042
43363,92;2018-09-20;22:00:00;2018-09-20 22:00;0;4,398;6,6;110;0,029
43363,96;2018-09-20;23:00:00;2018-09-20 23:00;0;4,413;6,6;110;0,044
43364,00;2018-09-21;00:00:00;2018-09-21 00:00;0;4,424;6,6;110;0,055
43364,04;2018-09-21;01:00:00;2018-09-21 01:00;0;4,404;6,6;110;0,035
43364,08;2018-09-21;02:00:00;2018-09-21 02:00;0;4,419;6,6;110;0,05
43364,13;2018-09-21;03:00:00;2018-09-21 03:00;0;4,391;6,6;110;0,022
43364,17;2018-09-21;04:00:00;2018-09-21 04:00;0;4,419;6,6;110;0,05
43364,21;2018-09-21;05:00:00;2018-09-21 05:00;0;4,403;6,6;110;0,034
43364,25;2018-09-21;06:00:00;2018-09-21 06:00;0;4,421;6,6;110;0,052
43364,29;2018-09-21;07:00:00;2018-09-21 07:00;0;4,401;6,6;110;0,032
